rank,title,rating,release_year
33,Nine,2.70,2009
34,The Secret of Moonacre,3.40,2008
35,The End,2.99,2024
36,David Lynch Cooks Quinoa,4.24,2007
37,Nim's Island,2.85,2008
38,The Navigator,3.72,1924
39,Cow Belles,2.59,2006
40,Woman at War,3.83,2018
41,Darling,3.57,1965
42,Marriage Italian Style,3.75,1964
43,The Indian in the Cupboard,2.89,1995
44,Dead Again,3.34,1991
45,The Clique,2.80,2008
46,All the King's Men,3.62,1949
47,Can't Get You Out of My Head,4.24,2021
48,The Last Dragon,3.43,1985
49,The Isle,3.61,2000
50,The Pawnbroker,3.92,1964
51,A Passage to India,3.59,1984
52,The Heist of the Century,3.51,2020
53,Brute Force,3.82,1947
54,Windtalkers,2.91,2002
55,Hamlet,3.04,2000
56,Fellini's Casanova,3.61,1976
57,Foxfire,3.43,1996
58,The Last: Naruto the Movie,3.42,2014
59,Escape from Tomorrow,2.32,2013
60,"Honey, We Shrunk Ourselves",2.49,1997
61,The Beach House,2.80,2019
62,The Cannonball Run,3.02,1981
63,The Disappearance of Eleanor Rigby: Her,3.51,2013
64,Tales of an Immoral Couple,3.48,2016
65,Ibiza,2.33,2018
66,"Nevertheless,",2.87,2021
67,Seventh Son,2.05,2014
68,The People We Hate at the Wedding,2.63,2022
69,The Offer,3.97,2022
70,Thirteen Days,3.39,2000
71,Jour de Fête,3.58,1949
72,The Flowers of War,3.63,2011
1,A Street Cat Named Bob,3.58,2016
2,Time Lapse,3.15,2014
3,Guess Who,2.67,2005
4,Don't Hug Me I'm Scared 2,4.01,2014
5,Stalingrad,3.79,1993
6,The Quiet Family,3.57,1998
7,The Haunted Castle,3.39,1896
8,Original Cast Album: Company,4.17,1970
9,Slow,3.76,2023
10,Mahjong,3.96,1996
11,Jade,2.75,1995
12,Irresistible,2.74,2020
13,Made in Britain,3.67,1982
14,The Cove,3.99,2009
15,The War with Grandpa,2.26,2020
16,"Ó Paí, Ó: Look at This",3.78,2007
17,G.O.R.A.,3.84,2004
18,The Banana Splits Movie,2.62,2019
19,Dimensions of Dialogue,4.21,1982
20,The Kingdom,3.17,2007
21,Role Play,2.31,2023
22,One Hundred and One Nights,3.75,1995
23,Sicko,3.67,2007
24,Ballad of a Soldier,4.09,1959
25,Meatballs,3.03,1979
26,Next Friday,2.95,2000
27,Gotti,1.79,2018
28,Violet Evergarden: Eternity and the Auto Memory Doll,3.81,2019
29,First Girl I Loved,2.90,2016
30,Striptease,2.31,1996
31,Brother,3.62,2000
32,Children of a Lesser God,3.53,1986
33,Lost in Space,2.36,1998
34,Metallica: Some Kind of Monster,3.71,2004
35,Jacquot de Nantes,4.13,1991
36,Monkey Business,3.43,1952
37,The Beat That My Heart Skipped,3.74,2005
38,Skincare,2.95,2024
39,Loser,2.67,2000
40,Unthinkable,3.10,2010
41,Gregory's Girl,3.66,1980
42,Girls Just Want to Have Fun,3.15,1985
43,Evil Under the Sun,3.50,1982
44,Within Our Gates,3.43,1920
45,And Then There Were None,3.55,1945
46,Hustle & Flow,3.60,2005
47,Vampyres,3.11,1974
48,Freaks Out,3.56,2021
49,Rookie of the Year,3.00,1993
50,Snow Dogs,2.34,2002
51,April and the Extraordinary World,3.65,2015
52,Ricki and the Flash,2.83,2015
53,The Trip,3.33,1967
54,The Aftermath,2.96,2019
55,Revolutionary Girl Utena: The Movie,4.13,1999
56,It's Alive,3.14,1974
57,The Flying Sailor,2.88,2022
58,Ride or Die,2.43,2021
59,Magnificent Obsession,3.64,1954
60,Decalogue II,3.84,1989
61,The 10th Victim,3.51,1965
62,School Daze,3.31,1988
63,The Pervert's Guide to Cinema,3.90,2005
64,Hungry Wives,3.13,1972
65,My Little Pony: Equestria Girls,3.50,2013
66,Queen Christina,3.74,1933
67,"Monster High: Boo York, Boo York",3.69,2015
68,Anon,2.65,2018
69,American Underdog,3.09,2021
70,Nymphomaniac,3.61,2014
71,Tales of Halloween,2.73,2015
72,The Suite Life Movie,2.34,2011
1,Beyond Utopia,3.96,2023
2,Gandahar,3.56,1987
3,Barfi!,3.80,2012
4,Long Weekend,3.42,1978
5,Dementia 13,2.88,1963
6,Driveways,3.80,2019
7,The Third Murder,3.50,2017
8,The Disappearance of Eleanor Rigby: Him,3.46,2013
9,Graduation,3.73,2016
10,Mickey's Twice Upon a Christmas,3.25,2004
11,For Love of the Game,3.01,1999
12,Always Shine,3.22,2016
13,Sword of the Stranger,3.87,2007
14,Sherlock: The Sign of Three,4.06,2014
15,Paid in Full,3.77,2002
16,Minha Irmã e Eu,3.04,2023
17,Avengement,3.32,2019
18,Four Days in September,3.70,1997
19,Conan the Barbarian,2.19,2011
20,By the Grace of God,3.64,2018
21,Wrong Turn 3: Left for Dead,2.07,2009
22,The Tingler,3.42,1959
23,Police Academy 2: Their First Assignment,2.82,1985
24,MirrorMask,3.39,2005
25,Brewster's Millions,3.19,1985
26,Phantasm II,3.21,1988
27,Education,3.81,2020
28,The House with Laughing Windows,3.57,1976
29,The Pod Generation,2.74,2023
30,Tetro,3.52,2009
31,Solace,2.75,2015
32,"My Son, My Son, What Have Ye Done",3.35,2009
33,A Coffee in Berlin,3.64,2012
34,Forever My Girl,2.71,2018
35,Did You Hear About the Morgans?,2.36,2009
36,Us Again,3.88,2021
37,"Oh, Hello on Broadway",3.90,2017
38,Equinox Flower,4.03,1958
39,Oliver Twist,3.20,2005
40,Cow,3.59,2021
41,Funny Ha Ha,3.46,2002
42,Loulou,3.62,1980
43,"I, Frankenstein",1.76,2014
44,Operation Varsity Blues: The College Admissions Scandal,3.16,2021
45,La Abuela (The Grandmother),2.96,2021
46,Sweet Girl,2.33,2021
47,Evangelion: Death (True)²,3.48,1998
48,Afterschool,3.28,2008
49,WR: Mysteries of the Organism,3.61,1971
50,Waterloo,3.85,1970
51,The Marksman,2.50,2021
52,Puella Magi Madoka Magica the Movie Part III: Rebellion,4.21,2013
53,John and the Hole,2.55,2021
54,Coal Miner's Daughter,3.71,1980
55,Righteous Kill,2.45,2008
56,Run Sweetheart Run,2.69,2020
57,Little Murders,3.70,1971
58,Scooby-Doo! Camp Scare,3.55,2010
59,Junebug,3.53,2005
60,The Man Who Sold His Skin,3.42,2020
61,Wife of a Spy,3.48,2020
62,The Living Dead Girl,3.51,1982
63,Taipei Suicide Story,3.87,2020
64,Prizzi's Honor,3.27,1985
65,Papicha,3.89,2019
66,Sherlock: The Six Thatchers,3.59,2017
67,Return of the Living Dead Part II,2.82,1988
68,Utøya: July 22,3.65,2018
69,All About Steve,2.08,2009
70,My Mom Is a Character 2,3.52,2016
71,Strange Circus,3.67,2005
72,One More Time with Feeling,4.17,2016
1,Once Bitten,2.74,1985
2,Cigarette Burns,3.50,2005
3,Just the Two of Us,3.57,2023
4,The Man Who Stole the Sun,4.00,1979
5,Pasolini,3.34,2014
6,One Man Band,3.56,2005
7,The In-Laws,3.68,1979
8,Toy Story That Time Forgot,3.23,2014
9,Backcountry,2.82,2014
10,The Wind,4.05,1928
11,Light of My Life,3.56,2019
12,Mountains May Depart,3.70,2015
13,Boiler Room,3.33,2000
14,Maybe I Do,2.04,2023
15,Friend Request,2.01,2016
16,Godzilla 2000: Millennium,3.07,1999
17,Reversal of Fortune,3.54,1990
18,The Seventh Curse,3.72,1986
19,My Scientology Movie,3.37,2015
20,Lockout,2.66,2012
21,All the Light We Cannot See,3.47,2023
22,Women Reply,3.63,1975
23,Two Hands,3.54,1999
24,The Truth,3.95,1960
25,Evil Dead Trap,3.41,1988
26,Ju-on: The Curse,3.36,2000
27,Unedited Footage of a Bear,3.71,2014
28,Sherlock: The Empty Hearse,3.84,2014
29,Love on the Run,3.63,1979
30,Cirque du Freak: The Vampire's Assistant,2.43,2009
31,The Kid,2.92,2000
32,The Set-Up,4.00,1949
33,Listen Up Philip,3.40,2014
34,Green Border,3.95,2023
35,Phenomenon,2.88,1996
36,The Loft,2.57,2014
37,Fun and Fancy Free,2.76,1947
38,Red Sorghum,3.76,1988
39,Scare Me,3.03,2020
40,Empire of Passion,3.66,1978
41,Barbie Mariposa & the Fairy Princess,3.17,2013
42,Sherlock Holmes 3,No rating,
43,Mononoke,4.31,2007
44,Out of Time,3.11,2003
45,Touching the Void,3.89,2003
46,The Professor and the Madman,3.35,2019
47,Megamind vs. the Doom Syndicate,1.19,2024
48,Michael Collins,3.47,1996
49,Slaughterhouse Rulez,2.60,2018
50,Pet Sematary II,2.57,1992
51,Masaan,4.04,2015
52,Disclosure,2.84,1994
53,Ministry of Fear,3.55,1944
54,Thumbsucker,3.28,2005
55,Saint Laurent,3.31,2014
56,Raw Deal,2.77,1986
57,The Boys from Brazil,3.38,1978
58,Tokyo-Ga,3.85,1985
59,Dog Eat Dog,2.76,2016
60,Win a Date with Tad Hamilton!,2.51,2004
61,Haider,4.01,2014
62,Executive Order,3.23,2020
63,The Mutilator,2.75,1984
64,Dead or Alive,3.50,1999
65,Cheap Thrills,3.37,2013
66,Return of the Living Dead III,3.05,1993
67,Wasabi,3.25,2001
68,Coma,3.45,1978
69,Better Luck Tomorrow,3.58,2002
70,Salaar: Part 1 - Ceasefire,3.10,2023
71,View from the Top,2.59,2003
72,Mothlight,3.57,1963
1,Adore,2.62,2013
2,Piglet's Big Movie,3.31,2003
3,The Body Snatcher,3.59,1945
4,Beauty Shop,3.13,2005
5,Trick or Treat,3.19,1986
6,Killer Elite,2.73,2011
7,The Lavender Hill Mob,3.75,1951
8,The Vault,2.80,2021
9,Scooby-Doo! The Mystery Begins,2.22,2009
10,Tom Jones,2.91,1963
11,Madame Satã,3.82,2002
12,Racing Stripes,2.37,2005
13,Flashback,2.99,2020
14,A Haunted House 2,2.20,2014
15,2036: Nexus Dawn,3.25,2017
16,Wrong Turn 4: Bloody Beginnings,2.24,2011
17,Kizumonogatari Part 1: Tekketsu,3.90,2016
18,Redeeming Love,2.77,2022
19,Into the Night,3.20,1985
20,Duelle,3.85,1976
21,Jailer,3.10,2023
22,Playground,3.72,2021
23,Tale of Tales,4.11,1979
24,The Ladies Man,3.54,1961
25,W.,2.99,2008
26,The Man with the Iron Fists,2.59,2012
27,The Raven,2.74,2012
28,Heist,3.29,2001
29,"Someone, Somewhere",3.42,2019
30,From Paris with Love,2.68,2010
31,The Hot Spot,3.30,1990
32,Don't Look Now... We're Being Shot At!,3.94,1966
33,The Greatest Show on Earth,2.93,1952
34,Love in the Villa,2.09,2022
35,River of Grass,3.45,1994
36,Cowspiracy: The Sustainability Secret,3.69,2014
37,Edward II,3.71,1991
38,xXx: State of the Union,2.07,2005
39,Eyes of Fire,3.42,1983
40,Song of Love,3.99,1950
41,Super Deluxe,3.99,2019
42,Demon Seed,3.12,1977
43,The Luck of the Irish,2.57,2001
44,Suburbia,3.49,1983
45,Mamonas Assassinas: O Filme,2.35,2023
46,"To Sir, with Love",3.63,1967
47,Sawdust and Tinsel,3.77,1953
48,The Idiot,3.57,1951
49,Willow Creek,2.62,2013
50,Blue Planet II,4.52,2017
51,Carlos,3.89,2010
52,One Piece: Stampede,3.55,2019
53,Five Broken Cameras,4.19,2011
54,The Times of Harvey Milk,4.10,1984
55,Travis Scott: Look Mom I Can Fly,3.18,2019
56,Mortal Kombat Legends: Scorpion's Revenge,3.40,2020
57,Ivy,4.02,2015
58,Swallowed,2.80,2022
59,The Saragossa Manuscript,4.05,1965
60,Shock,3.32,1977
61,The Kentucky Fried Movie,3.13,1977
62,The Funeral,3.82,1984
63,Black Sheep,2.96,1996
64,Your Eyes Tell,3.79,2020
65,The Honeymoon Killers,3.61,1970
66,Strong Woman Do Bong Soon,3.98,2017
67,Lower City,3.46,2005
68,Space Is the Place,3.68,1974
69,The Farm,1.72,2018
70,The Living Dead at Manchester Morgue,3.44,1974
71,Hot Girls Wanted,2.98,2015
72,I Shot Andy Warhol,3.46,1996
1,A Letter to Momo,3.65,2011
2,Faster,2.67,2010
3,Superman/Batman: Apocalypse,3.21,2010
4,Another Country,3.35,1984
5,Daughters,4.20,2024
6,In Vanda's Room,4.03,2000
7,The Roundup,3.42,2022
8,Chess of the Wind,3.95,1976
9,Adventure Time: Stakes,4.35,2015
10,Two Is a Family,3.47,2016
11,Lone Wolf and Cub: Baby Cart at the River Styx,4.00,1972
12,Fast Color,3.29,2018
13,Macbeth,3.72,1948
14,Dolemite,3.10,1975
15,Cake,3.06,2014
16,Occult,3.57,2009
17,Seven Days in May,3.86,1964
18,Lu Over the Wall,3.64,2017
19,Our Planet,4.47,2019
20,"Food, Inc.",3.60,2008
21,Rabbit-Proof Fence,3.51,2002
22,Pollock,3.41,2000
23,Weiner,3.84,2016
24,Capricorn One,3.39,1977
25,Alone in the Dark,3.16,1982
26,Sudden Death,3.04,1995
27,Two Evil Eyes,3.11,1990
28,Portrait of Jason,3.85,1967
29,Disconnect,3.49,2012
30,Eros + Massacre,4.06,1969
31,Blancanieves,3.79,2012
32,A Confucian Confusion,3.98,1994
33,High Art,3.29,1998
34,My Hero Academia: World Heroes' Mission,3.30,2021
35,Midnight in the Garden of Good and Evil,3.26,1997
36,Sholay,3.86,1975
37,The Great Debaters,3.56,2007
38,Romance,3.20,1999
39,Kinky Boots,3.46,2005
40,Attack on Titan The Final Chapters: Special 1,4.47,2023
41,Blonde Venus,3.60,1932
42,Killer Book Club,2.11,2023
43,The Sea of Trees,2.88,2015
44,Deadwood: The Movie,3.77,2019
45,Lo and Behold: Reveries of the Connected World,3.50,2016
46,Clearcut,3.73,1991
47,The Beauty Inside,3.65,2015
48,Caramel,3.75,2007
49,The Five Venoms,3.53,1978
50,Straight Up,3.57,2019
51,Three Monkeys,3.68,2008
52,Avengers: Doomsday,No rating,2026
53,The Little Vampire,3.02,2000
54,Courage Under Fire,3.23,1996
55,Overboard,2.54,2018
56,Bride & Prejudice,3.29,2004
57,The Year of Living Dangerously,3.55,1982
58,Skyline,1.82,2010
59,Doomsday,2.81,2008
60,The Brides of Dracula,3.34,1960
61,U Turn,3.24,1997
62,Scooby-Doo! and the Legend of the Vampire,3.22,2003
63,The Pied Piper,3.98,1986
64,Silent House,2.59,2011
65,Sweet and Lowdown,3.56,1999
66,Sonic the Hedgehog 3,No rating,2024
67,Child 44,2.84,2015
68,Merry Christmas,3.36,2024
69,The Best Little Whorehouse in Texas,3.46,1982
70,The Silencing,2.80,2020
71,Aftermath,2.09,2021
72,Slice,2.22,2018
1,Big Fish & Begonia,3.49,2016
2,The Punisher,2.71,1989
3,Marvel One-Shot: All Hail the King,3.20,2014
4,Heartburn,3.14,1986
5,Candyman: Farewell to the Flesh,2.60,1995
6,Raise Your Voice,2.78,2004
7,One Fine Day,3.25,1996
8,The Hound of the Baskervilles,3.45,1959
9,FearDotCom,1.79,2002
10,Apocalypse Z: The Beginning of the End,2.82,2024
11,Locked Down,2.32,2021
12,Magnetic Rose,4.25,1995
13,Death and the Maiden,3.70,1994
14,Nine Perfect Strangers,3.20,2021
15,The Last Showgirl,3.34,2024
16,The Haunted Palace,3.48,1963
17,Ayla: The Daughter of War,3.67,2017
18,Twentieth Century,3.58,1934
19,Assassins,2.89,1995
20,Manticore,3.68,2022
21,Roundhay Garden Scene,3.25,1888
22,Guy and Madeline on a Park Bench,3.13,2009
23,Robin Williams: Come Inside My Mind,3.90,2018
24,The Forbidden Room,3.74,2015
25,Secret in Their Eyes,2.83,2015
26,Rogue,2.99,2007
27,A Wounded Fawn,3.07,2022
28,Dirty Pretty Things,3.56,2002
29,Birdboy: The Forgotten Children,3.79,2015
30,The Punk Singer,3.89,2013
31,Mr. Arkadin,3.69,1955
32,Pyewacket,2.90,2017
33,Kumbalangi Nights,4.14,2019
34,Holidays,2.51,2016
35,Small Time Crooks,3.26,2000
36,The Sunset Limited,3.72,2011
37,Welcome to Me,3.13,2014
38,Boundin',3.21,2003
39,Wolf Man,No rating,2025
40,Grand Piano,3.13,2013
41,The Guilt Trip,2.61,2012
42,Cyborg,2.58,1989
43,Monster High: The Movie,1.90,2022
44,The In Between,2.46,2022
45,The Siege,3.02,1998
46,Maniac Cop 2,3.21,1990
47,K-19: The Widowmaker,3.14,2002
48,First Knight,2.79,1995
49,Foodfight!,1.29,2012
50,Bad Hair,3.00,2020
51,Escape to Victory,3.29,1981
52,The Ballad of Narayama,3.99,1958
53,Dil Se..,3.61,1998
54,The Rocker,2.82,2008
55,Yearning,4.21,1964
56,Anywhere but Here,3.14,1999
57,We Need to Do Something,2.45,2021
58,A Star Is Born,3.61,1937
59,Memories of a Teenager,3.00,2019
60,Feast,2.94,2005
61,Perras,3.20,2011
62,The Namesake,3.73,2006
63,The Fly II,2.71,1989
64,Center Stage,3.40,2000
65,Bandits,3.12,2001
66,Stress Positions,3.31,2024
67,Kidnapped,3.52,2023
68,Superman/Batman: Public Enemies,3.21,2009
69,Sink or Swim,3.56,2018
70,The Silence of the Sea,3.89,1949
71,The Greatest of All Time,2.60,2024
72,You Get Me,1.79,2017
1,He Who Gets Slapped,3.95,1924
2,Canoa: A Shameful Memory,4.10,1976
3,Kandahar,2.62,2023
4,The Windshield Wiper,3.41,2021
5,Foxtrot,3.87,2017
6,Centurion,2.91,2010
7,Fanfic,3.06,2023
8,To the Ends of the Earth,3.63,2019
9,Cry_Wolf,2.70,2005
10,Hell Comes to Frogtown,2.85,1988
11,The Laughing Woman,3.68,1969
12,McQueen,3.84,2018
13,In a Glass Cage,3.64,1986
14,Barbie: The Pearl Princess,3.12,2014
15,American Pie Presents: The Book of Love,1.89,2009
16,Urban Legends: Final Cut,2.39,2000
17,No Dogs or Italians Allowed,3.86,2022
18,Kizumonogatari Part 3: Reiketsu,4.21,2017
19,Wild Mountain Thyme,2.30,2020
20,Cyrus,3.13,2010
21,Face to Face,3.87,1976
22,MFKZ,3.36,2017
23,Immoral Tales,2.98,1973
24,Manon of the Spring,3.98,1986
25,Into the Blue,2.61,2005
26,El Norte,3.90,1983
27,The Strange Vice of Mrs Wardh,3.59,1971
28,A Private War,3.48,2018
29,Misbehaviour,3.27,2020
30,The Bonfire of the Vanities,2.65,1990
31,Little Odessa,3.59,1994
32,Teen Titans: Trouble in Tokyo,3.58,2006
33,Virtuosity,2.72,1995
34,In Bed with Victoria,3.37,2016
35,The Clown,3.66,2011
36,Antonio das Mortes,3.82,1969
37,Masquerade,3.33,2022
38,"Red, White and Blue",3.50,2023
39,Beerfest,2.93,2006
40,The Velvet Vampire,2.97,1971
41,This Night I'll Possess Your Corpse,3.71,1967
42,The Mourning Forest,3.67,2007
43,Run Fatboy Run,3.02,2007
44,The Cutting Edge,3.35,1992
45,Scooby-Doo! and the Loch Ness Monster,3.26,2004
46,The Return of Godzilla,3.44,1984
47,Giant Little Ones,3.17,2018
48,The Postman,2.75,1997
49,The Four Troublesome Heads,3.80,1898
50,The Crucified Lovers,4.13,1954
51,The Road,3.93,1982
52,Blank Check,2.38,1994
53,Don't Listen,2.72,2020
54,Dodes'ka-den,3.70,1970
55,Nana,3.66,2005
56,The Photograph,3.10,2020
57,Ride the High Country,3.73,1962
58,The Overnight,3.14,2015
59,Profile,3.05,2018
60,Le Plaisir,3.93,1952
61,A Million Miles Away,3.51,2023
62,Moana 2,No rating,2024
63,The Story of Film: An Odyssey,4.22,2011
64,Akeelah and the Bee,3.53,2006
65,Razorback,3.18,1984
66,Before the Flood,3.72,2016
67,November,3.34,2022
68,Days of Wine and Roses,3.88,1962
69,My Salinger Year,3.29,2020
70,Moonshot,2.54,2022
71,Holiday Inn,3.24,1942
72,"Big Mommas: Like Father, Like Son",2.10,2011
1,Bio-Dome,2.16,1996
2,You Are Not My Mother,3.10,2021
3,Electric Dragon 80.000 V,3.79,2001
4,Upside Down,2.83,2012
5,The Nutty Professor,3.33,1963
6,War and Peace,3.33,1956
7,Dragon Ball Z: Broly – The Legendary Super Saiyan,3.35,1993
8,Girl 6,3.39,1996
9,D3: The Mighty Ducks,2.81,1996
10,Diamantino,3.42,2018
11,The Midnight Gospel,4.36,2020
12,Berserk: The Golden Age Arc III – The Advent,3.94,2013
13,Ring 2,2.91,1999
14,The Pleasure of Being Robbed,3.38,2008
15,Dumb and Dumberer: When Harry Met Lloyd,1.70,2003
16,Passenger 57,2.91,1992
17,Leprechaun in the Hood,2.17,2000
18,Chinese Take-Away,3.55,2011
19,Cops,3.84,1922
20,Ricky Gervais: Humanity,3.70,2018
21,Butterfly,3.78,1999
22,Destry Rides Again,3.80,1939
23,Shutter,2.29,2008
24,Paradise: Love,3.76,2012
25,Monica and Friends: Lessons,3.78,2021
26,A Personal Journey With Martin Scorsese Through American Movies,4.20,1995
27,Ghoulies,2.38,1985
28,South ParQ Vaccination Special,3.57,2021
29,The Scooby-Doo Project,3.81,1999
30,South Park: Joining the Panderverse,3.44,2023
31,The Barefoot Contessa,3.47,1954
32,Baby Boy,3.34,2001
33,Brainscan,3.02,1994
34,Boy A,3.66,2007
35,The Shaggy Dog,1.90,2006
36,Undercover Brother,3.10,2002
37,Jesus Revolution,3.27,2023
38,Palindromes,3.46,2004
39,Scooby-Doo and the Ghoul School,3.32,1988
40,Beverly Hills Chihuahua 2,2.32,2011
41,Breathless,3.34,1983
42,Magical Mystery Tour,3.19,1967
43,Splendor,3.52,1999
44,Saving Silverman,2.74,2001
45,Heart of Glass,3.62,1976
46,Trust,3.11,2010
47,Don't Hug Me I'm Scared 6,4.09,2016
48,Orgazmo,3.03,1997
49,Things to Come,3.29,1936
50,The Homesman,3.39,2014
51,Super/Man: The Christopher Reeve Story,4.05,2024
52,Swiped,1.09,2018
53,Curtains,2.87,1983
54,The Contractor,2.60,2022
55,Kadaisi Vivasayi,4.21,2021
56,The Dark Half,3.04,1993
57,The Beastmaster,3.02,1982
58,Taste of Fear,3.78,1961
59,Harry and the Hendersons,3.02,1987
60,Pigsty,3.53,1969
61,Tokyo Ghoul,3.54,2014
62,Kinsey,3.37,2004
63,Chico & Rita,3.63,2010
64,Miss Juneteenth,3.54,2020
65,Griselda,3.56,2024
66,Son of Rambow,3.54,2007
67,"Dance, Girl, Dance",3.52,1940
68,Horror in the High Desert,2.82,2021
69,The Other Side of the Underneath,3.67,1972
70,I Think We're Alone Now,2.92,2018
71,Santa Claus Is a Stinker,3.52,1982
72,The Wild Child,3.64,1970
1,Denial,3.38,2016
2,Subway,3.45,1985
3,Something Wicked This Way Comes,3.34,1983
4,Dust in the Wind,3.94,1986
5,Team Thor: Part 2,3.41,2017
6,Monster High: Why Do Ghouls Fall in Love?,3.73,2012
7,Dolphin Tale,2.97,2011
8,A Thousand Words,2.43,2012
9,Rab Ne Bana Di Jodi,3.53,2008
10,The Rhythm Section,2.42,2020
11,Blue My Mind,3.33,2017
12,Gaia,2.97,2021
13,Land and Freedom,3.83,1995
14,Lisa and the Devil,3.38,1973
15,The Girl Who Killed Her Parents: The Confession,3.08,2023
16,Slumber Party Massacre,2.83,2021
17,BURN·E,3.54,2008
18,Wise Blood,3.55,1979
19,Invincible,3.64,2022
20,Neighbours,3.99,1952
21,City of Pirates,4.04,1983
22,Takers,2.69,2010
23,Don't Say a Word,2.89,2001
24,Gigli,1.48,2003
25,Ricky Gervais: SuperNature,3.35,2022
26,Mother and Son,3.95,1997
27,Grand Prix,3.69,1966
28,Phantom of the Opera,3.08,1943
29,Custody,3.88,2017
30,Canvas,3.29,2020
31,Alone,3.09,2008
32,The Saint,2.82,1997
33,Leprechaun 2,2.35,1994
34,My Cousin Rachel,2.97,2017
35,Hollywood Shuffle,3.62,1987
36,Georgia Rule,2.80,2007
37,And Now for Something Completely Different,3.77,1971
38,Fyre Fraud,3.19,2019
39,Evil Genius,3.61,2018
40,Mysterious Object at Noon,3.67,2000
41,Smoke Sauna Sisterhood,3.89,2023
42,The Eye,3.18,2002
43,The Wall,3.01,2017
44,Versus,3.40,2000
45,Terrifier,2.73,2011
46,Nine Months,2.69,1995
47,The Cloud-Capped Star,4.02,1960
48,Love Jones,3.76,1997
49,The White Balloon,3.90,1995
50,Homicide,3.63,1991
51,The Red Sea Diving Resort,2.88,2019
52,Elvira's Haunted Hills,2.90,2001
53,Sound of My Voice,3.40,2011
54,Marshall,3.43,2017
55,My Little Pony: Equestria Girls - Rainbow Rocks,3.81,2014
56,Blood Diner,3.01,1987
57,Friendly Beast,3.24,2017
58,South Park: The Pandemic Special,3.58,2020
59,Cats & Dogs: The Revenge of Kitty Galore,2.07,2010
60,Braid,3.00,2018
61,Vicious Fun,3.25,2020
62,District B13,3.37,2004
63,The World of Us,3.99,2016
64,Swept Away,3.64,1974
65,Leroy & Stitch,2.92,2006
66,No Home Movie,3.80,2015
67,Smart House,2.77,1999
68,A Murder at the End of the World,3.54,2023
69,Shelter,3.55,2007
70,Beyond the Hills,3.89,2012
71,The Piano Lesson,3.38,2024
72,Captain Blood,3.71,1935
1,On Dangerous Ground,3.73,1951
2,Topaz,2.94,1969
3,My Soul to Take,2.45,2010
4,Crimewave,2.80,1985
5,The Loneliness of the Long Distance Runner,3.86,1962
6,Billy Lynn's Long Halftime Walk,2.99,2016
7,I Am Heath Ledger,3.86,2017
8,Billionaire Boys Club,2.41,2018
9,Powaqqatsi,3.64,1988
10,The Cave,2.29,2005
11,Time After Time,3.49,1979
12,Time of the Wolf,3.46,2003
13,Shiva Baby,3.45,2018
14,Like a Boss,2.18,2020
15,Extract,2.83,2009
16,Blithe Spirit,3.45,1945
17,The Man Who Knew Too Little,3.23,1997
18,Given,4.03,2019
19,Sherlock: The Lying Detective,3.86,2017
20,Private Benjamin,3.15,1980
21,My Brilliant Career,3.72,1979
22,The Devil Inside,1.88,2012
23,A Perfect Pairing,2.31,2022
24,The Underground Railroad,4.12,2021
25,The Beaver,3.11,2011
26,Holy Smoke,3.17,1999
27,Piku,3.75,2015
28,Only the River Flows,3.37,2023
29,Two Mules for Sister Sara,3.51,1970
30,Slaxx,2.76,2020
31,The Marsh King's Daughter,2.79,2023
32,In the Darkness of Time,4.13,2002
33,101 Dalmatians II: Patch's London Adventure,2.73,2002
34,The One and Only Ivan,2.95,2020
35,Across 110th Street,3.67,1972
36,She Wore a Yellow Ribbon,3.59,1949
37,What Have You Done to Solange?,3.50,1972
38,Sex and Lucía,3.40,2001
39,I Know Who Killed Me,2.04,2007
40,The Collector,3.74,1965
41,Peking Opera Blues,3.98,1986
42,Kissing Jessica Stein,2.82,2001
43,The Last Kingdom: Seven Kings Must Die,3.30,2023
44,Coven,3.55,2020
45,Father of the Bride,2.79,2022
46,Invaders from Mars,2.91,1986
47,A Moment to Remember,3.85,2004
48,Another Woman,3.68,1988
49,Amazing Grace,3.94,2018
50,Now You See Me 3,No rating,2025
51,La Cocina,3.74,2024
52,Coonskin,3.49,1975
53,Gate of Flesh,3.80,1964
54,The Hot Rock,3.62,1972
55,Fury,3.95,1936
56,The House of Yes,3.43,1997
57,Seance,2.77,2021
58,Ode to Nothing,3.84,2018
59,Cube Zero,2.43,2004
60,The 8 Diagram Pole Fighter,4.04,1984
61,Times Square,3.54,1980
62,Ernest Scared Stupid,2.90,1991
63,Scrooge,3.83,1951
64,The Whip and the Body,3.52,1963
65,Sabotage,2.48,2014
66,A Fall from Grace,2.57,2020
67,Gemini,2.87,2017
68,Multiplicity,2.97,1996
69,Force of Evil,3.64,1948
70,Itaewon Class,3.56,2020
71,An American Werewolf in Paris,2.27,1997
72,"Family Guy Presents: Something, Something, Something, Dark Side",3.36,2009
1,Everybody's Talking About Jamie,3.19,2021
2,Double Lover,3.11,2017
3,This Film Is Not Yet Rated,3.64,2006
4,Shane Gillis: Beautiful Dogs,3.88,2023
5,The Childhood of a Leader,3.41,2015
6,Untitled Jordan Peele Film,No rating,2026
7,Perfect Strangers,3.08,2017
8,Machuca,3.80,2004
9,Curve,3.32,2016
10,TerrorVision,3.08,1986
11,The Jewel of the Nile,2.88,1985
12,Fists in the Pocket,3.87,1965
13,The Prophecy,3.03,1995
